               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12365,            0.016186,            0.045775,          0.00061173,             0.10417,          0.00073093,          0.00019674,             0.12036,            0.015091,            0.041205,               0.091,               0.001,               0.001
                   1,             0.11324,            0.016912,            0.043237,          0.00096161,              0.1875,           0.0011635,          0.00012723,             0.11139,            0.015881,            0.038943,            0.081093,           0.0020931,           0.0020931
                   2,             0.10431,            0.017909,            0.039532,           0.0011817,             0.22917,           0.0036238,          0.00041053,             0.10159,            0.016951,            0.035973,            0.071179,           0.0031789,           0.0031789
                   3,            0.094903,            0.018307,            0.035065,           0.0019247,             0.39583,            0.038442,            0.005043,            0.095064,             0.01759,            0.032018,            0.061257,           0.0042574,           0.0042574
                   4,            0.089592,            0.020731,            0.030248,            0.005649,             0.69048,            0.048477,            0.011901,            0.090201,            0.018208,             0.02733,            0.051329,           0.0053287,           0.0053287
                   5,            0.084034,            0.021594,            0.026868,           0.0074693,             0.81845,            0.034415,           0.0092218,             0.08261,            0.018879,            0.025764,            0.041393,           0.0063927,           0.0063927
                   6,            0.078538,            0.020278,             0.02241,           0.0067902,             0.86012,             0.11098,            0.027749,            0.082093,             0.01776,            0.024042,             0.03145,           0.0074495,           0.0074495
                   7,            0.077989,            0.020229,             0.01871,              0.3065,             0.12798,              0.2031,            0.046423,            0.082952,            0.016509,            0.018026,            0.021499,            0.008499,            0.008499
                   8,            0.075154,            0.019215,            0.014823,             0.29507,             0.11905,             0.15143,            0.043193,             0.07559,            0.016782,            0.017547,            0.011541,           0.0095413,           0.0095413
                   9,            0.073711,            0.018189,            0.013477,             0.34592,             0.22619,              0.1551,            0.047787,            0.073446,            0.016479,            0.015604,            0.009703,            0.009703,            0.009703
                  10,            0.071242,            0.019513,            0.010374,             0.31565,             0.40476,             0.17688,            0.054909,            0.084191,            0.014752,            0.012863,            0.009703,            0.009703,            0.009703
                  11,            0.071097,            0.016152,           0.0097966,             0.32919,             0.36607,             0.23714,             0.10732,            0.077705,            0.014814,            0.012843,             0.00967,             0.00967,             0.00967
                  12,             0.06396,            0.016666,           0.0096585,             0.18022,             0.33396,             0.21994,             0.11324,             0.07058,            0.015285,            0.012208,            0.009637,            0.009637,            0.009637
                  13,            0.064778,            0.018663,           0.0087057,             0.30192,             0.34887,             0.34732,              0.1042,            0.069159,            0.015127,            0.010112,            0.009604,            0.009604,            0.009604
                  14,            0.060489,            0.016663,           0.0075455,             0.59152,             0.28017,             0.38728,             0.12992,            0.074071,            0.014485,           0.0069956,            0.009571,            0.009571,            0.009571
                  15,             0.06291,            0.015039,           0.0065234,             0.41608,             0.39607,             0.35911,              0.1864,            0.069912,            0.013965,           0.0072817,            0.009538,            0.009538,            0.009538
                  16,            0.061061,             0.01599,           0.0062886,             0.39048,             0.48512,             0.43609,              0.1794,            0.075427,            0.012792,           0.0076378,            0.009505,            0.009505,            0.009505
                  17,            0.059637,            0.014951,           0.0060967,             0.42095,             0.48512,             0.45258,             0.21589,            0.064893,            0.014334,           0.0081755,            0.009472,            0.009472,            0.009472
                  18,            0.058803,            0.014261,           0.0057788,             0.47726,             0.46429,             0.45415,             0.24931,            0.062199,            0.014071,           0.0094069,            0.009439,            0.009439,            0.009439
                  19,            0.056703,            0.013592,           0.0048164,             0.38383,              0.5417,               0.476,             0.24406,            0.063431,            0.013505,           0.0086972,            0.009406,            0.009406,            0.009406
                  20,            0.055809,            0.014318,            0.005033,             0.37976,             0.59281,             0.47765,             0.26656,            0.063406,            0.013272,            0.008091,            0.009373,            0.009373,            0.009373
                  21,            0.053295,            0.013587,           0.0040052,             0.44763,             0.57807,             0.53736,             0.30735,            0.057071,            0.013335,            0.008321,             0.00934,             0.00934,             0.00934
                  22,            0.052876,             0.01245,           0.0045311,             0.48244,             0.46429,             0.49751,              0.2886,            0.058953,            0.013302,           0.0087104,            0.009307,            0.009307,            0.009307
                  23,            0.052756,            0.011767,           0.0046732,             0.72361,             0.46429,             0.54782,             0.32525,             0.05257,            0.014046,            0.007818,            0.009274,            0.009274,            0.009274
                  24,            0.048581,            0.013198,           0.0050886,             0.55639,             0.55955,             0.58264,             0.28207,            0.053875,            0.013527,           0.0078065,            0.009241,            0.009241,            0.009241
                  25,            0.050143,            0.011949,           0.0047361,             0.68716,             0.55055,             0.66217,             0.34983,             0.05147,            0.013391,           0.0069061,            0.009208,            0.009208,            0.009208
                  26,            0.047648,            0.012274,           0.0041128,             0.73684,             0.54217,             0.68537,             0.38416,             0.04816,            0.013752,           0.0059823,            0.009175,            0.009175,            0.009175
                  27,            0.046818,            0.011256,           0.0033761,             0.67168,             0.46461,              0.5735,             0.28138,            0.052282,            0.013597,           0.0058495,            0.009142,            0.009142,            0.009142
                  28,            0.052141,             0.01053,           0.0034222,             0.75732,             0.51193,             0.60572,             0.26488,            0.051744,            0.013984,            0.005935,            0.009109,            0.009109,            0.009109
                  29,            0.048681,             0.01123,           0.0038993,             0.54349,              0.5154,             0.53637,             0.30415,            0.052439,            0.013615,           0.0059571,            0.009076,            0.009076,            0.009076
                  30,            0.046806,            0.010874,           0.0035796,             0.58039,             0.56845,             0.62331,             0.34265,            0.048568,             0.01378,           0.0056819,            0.009043,            0.009043,            0.009043
                  31,            0.045286,            0.010313,           0.0035321,             0.64918,             0.56845,             0.66011,             0.37117,            0.046196,            0.013317,            0.005996,             0.00901,             0.00901,             0.00901
                  32,            0.046802,            0.011044,           0.0032017,             0.76587,             0.56845,             0.66353,             0.38655,            0.047148,            0.012982,           0.0067891,            0.008977,            0.008977,            0.008977
                  33,             0.04533,            0.010402,           0.0034658,             0.77002,             0.54814,             0.66247,             0.39201,             0.04563,            0.013389,           0.0075769,            0.008944,            0.008944,            0.008944
                  34,            0.043765,           0.0095316,           0.0033712,             0.65983,             0.56845,             0.60661,             0.32658,            0.047784,            0.013326,           0.0075526,            0.008911,            0.008911,            0.008911
                  35,             0.04349,           0.0099268,           0.0033191,             0.89288,              0.5311,             0.64655,             0.42672,            0.047034,            0.014138,           0.0088727,            0.008878,            0.008878,            0.008878
                  36,             0.04576,            0.010507,           0.0031951,             0.90435,             0.48752,             0.66659,             0.39965,            0.046902,             0.01431,           0.0086034,            0.008845,            0.008845,            0.008845
                  37,            0.043487,            0.010376,           0.0033795,             0.84236,             0.52168,              0.6699,             0.38687,            0.045613,             0.01423,           0.0087271,            0.008812,            0.008812,            0.008812
                  38,            0.042265,           0.0098376,           0.0030328,             0.86598,              0.5449,             0.61487,             0.39546,            0.044694,             0.01489,            0.010779,            0.008779,            0.008779,            0.008779
                  39,            0.043528,            0.010628,           0.0028077,             0.83796,             0.54762,             0.64532,             0.34439,            0.048641,            0.014802,           0.0093371,            0.008746,            0.008746,            0.008746
                  40,            0.042108,           0.0095972,           0.0028768,              0.8917,             0.54762,             0.68742,             0.40303,            0.044792,            0.014964,           0.0088015,            0.008713,            0.008713,            0.008713
                  41,            0.043347,           0.0098917,             0.00306,             0.88257,             0.54762,             0.66323,             0.42925,            0.045781,            0.015403,           0.0088918,             0.00868,             0.00868,             0.00868
